"jenis_barang","avg_sales","total_sales"
"AMPICILLIN","282652.7934782608","13002028.499999998"
"TRAMADOL","181289.3804347826","8339311.499999999"
"PARACETAMOL","237705.27500000002","5704926.600000001"
"KLORPROMAZINA","135559.2","4744572"
"AMBROXOL","164027.36249999996","3936656.6999999993"
"ERGOTAMINE","129535.4875","3108851.7"
"ALERGINE","59602.328260869566","2741707.1"
"ACYCLOVIR","57306.0704347826","2636079.2399999998"
"TETRACYCLINE","108113.95833333333","2594735"
"KETOCONAZOLE","68788.48000000001","2407596.8000000003"
